config_id,battery_type,num_motors,propeller_size,frame_size,radio_receiver,battery_capacity_mah,battery_weight_g,motor_thrust_per_g,total_thrust_g,total_weight_g,thrust_to_weight_ratio,payload_capacity_g,flight_time_min,power_consumption_w,max_speed_kmh,stability_score,crash_probability,drone_cost_usd
CFG-0001,LiPo 6S 4000mAh,3,"9""",450mm Standard,DJI FPV Receiver,4000,680,800,2400,1319,1.82,1081,26.73,187.62,84.52,54.38,0.6373,376.32
CFG-0002,LiPo 4S 5000mAh,4,"5""",330mm Medium,DJI FPV Receiver,5000,520,900,3600,1062,3.39,2538,23.25,185.37,93.09,68.11,0.4138,342.72
CFG-0003,LiPo 6S 4000mAh,4,"7""",220mm Mini,DJI FPV Receiver,4000,680,900,3600,1108,3.249,2492,31.12,171.39,125.01,66.9,0.4378,343.84
CFG-0004,LiPo 6S 4000mAh,8,"9""",330mm Medium,TBS Crossfire,4000,680,1100,8800,1769,4.975,7031,15.1,332.05,73.57,94.78,0.2259,635.04
CFG-0005,LiPo 4S 5000mAh,3,"9""",450mm Standard,FrSky R-XSR,5000,520,800,2400,1149,2.089,1251,27.87,156.81,61.36,56.52,0.5556,302.4
CFG-0006,LiPo 4S 3000mAh,3,"7""",220mm Mini,TBS Crossfire,3000,320,800,2400,656,3.659,1744,31.1,83.24,122.67,62.46,0.4372,231.84
CFG-0007,LiPo 4S 5000mAh,4,"5""",550mm Heavy,TBS Crossfire,5000,520,900,3600,1427,2.523,2173,14.42,272.17,66.18,80.81,0.3743,415.52
CFG-0008,LiPo 6S 8000mAh,6,"7""",330mm Medium,DJI FPV Receiver,8000,1050,1000,6000,1824,3.289,4176,31.22,353.87,81.65,78.15,0.3367,542.08
CFG-0009,LiPo 6S 8000mAh,4,"9""",220mm Mini,DJI FPV Receiver,8000,1050,900,3600,1502,2.397,2098,44.03,231.4,84.96,60.68,0.4997,418.88
CFG-0010,LiPo 6S 8000mAh,3,"5""",450mm Standard,FrSky R-XSR,8000,1050,800,2400,1649,1.455,751,32.78,315.31,94.9,49.4,0.7756,372.96
CFG-0011,LiPo 3S 2200mAh,6,"5""",330mm Medium,ExpressLRS 900,2200,180,1000,6000,922,6.508,5078,9.79,166.59,76.07,83.0,0.3549,355.04
CFG-0012,LiPo 3S 2200mAh,8,"9""",450mm Standard,TBS Crossfire,2200,180,1100,8800,1419,6.202,7381,7.65,249.31,36.91,91.85,0.2464,590.24
CFG-0013,LiPo 3S 2200mAh,6,"5""",450mm Standard,TBS Crossfire,2200,180,1000,6000,1075,5.581,4925,7.91,203.39,65.7,80.41,0.2962,411.04
CFG-0014,LiPo 4S 5000mAh,3,"9""",450mm Standard,TBS Crossfire,5000,520,800,2400,1154,2.08,1246,28.28,157.7,60.37,60.42,0.417,339.36
CFG-0015,LiPo 6S 8000mAh,6,"9""",220mm Mini,ExpressLRS 900,8000,1050,1000,6000,1722,3.484,4278,34.51,298.51,81.16,83.46,0.2874,495.04
CFG-0016,LiPo 6S 4000mAh,4,"7""",220mm Mini,TBS Crossfire,4000,680,900,3600,1103,3.264,2497,32.64,170.39,127.67,70.91,0.4296,332.64
CFG-0017,LiPo 4S 5000mAh,8,"7""",450mm Standard,DJI FPV Receiver,5000,520,1100,8800,1716,5.128,7084,13.73,351.09,52.18,86.3,0.2284,627.2
CFG-0018,LiPo 3S 2200mAh,8,"5""",220mm Mini,ExpressLRS 900,2200,180,1100,8800,1056,8.333,7744,6.87,213.45,73.45,79.25,0.3228,455.84
CFG-0019,LiPo 4S 5000mAh,4,"12""",550mm Heavy,ExpressLRS 900,5000,520,900,3600,1504,2.394,2096,19.3,221.73,37.0,72.31,0.448,437.92
CFG-0020,LiPo 3S 2200mAh,4,"12""",550mm Heavy,TBS Crossfire,2200,180,900,3600,1167,3.085,2433,10.82,159.44,37.92,80.32,0.3273,407.68
CFG-0021,LiPo 3S 2200mAh,3,"9""",330mm Medium,TBS Crossfire,2200,180,800,2400,664,3.614,1736,15.31,76.88,74.4,73.58,0.4361,253.12
CFG-0022,LiPo 4S 5000mAh,8,"9""",220mm Mini,ExpressLRS 900,5000,520,1100,8800,1476,5.962,7324,16.71,262.4,63.38,86.96,0.284,553.28
CFG-0023,LiPo 3S 2200mAh,3,"12""",450mm Standard,TBS Crossfire,2200,180,800,2400,844,2.844,1556,15.77,100.44,48.91,65.3,0.4285,303.52
CFG-0024,LiPo 4S 3000mAh,6,"9""",450mm Standard,DJI FPV Receiver,3000,320,1000,6000,1280,4.688,4720,11.53,203.0,58.35,79.59,0.3987,478.24
CFG-0025,LiPo 4S 3000mAh,8,"5""",450mm Standard,DJI FPV Receiver,3000,320,1100,8800,1484,5.93,7316,6.76,332.2,69.24,87.37,0.2878,579.04
CFG-0026,LiPo 6S 4000mAh,8,"7""",550mm Heavy,FrSky R-XSR,4000,680,1100,8800,2086,4.219,6714,9.21,452.54,62.23,88.25,0.2707,655.2
CFG-0027,LiPo 3S 2200mAh,3,"9""",450mm Standard,DJI FPV Receiver,2200,180,800,2400,819,2.93,1581,14.67,100.98,57.94,67.42,0.4291,297.92
CFG-0028,LiPo 6S 4000mAh,6,"5""",550mm Heavy,DJI FPV Receiver,4000,680,1000,6000,1800,3.333,4200,13.74,397.52,81.59,80.77,0.2782,551.04
CFG-0029,LiPo 4S 5000mAh,8,"5""",220mm Mini,DJI FPV Receiver,5000,520,1100,8800,1404,6.268,7396,12.9,309.11,83.16,79.98,0.3007,542.08
CFG-0030,LiPo 4S 5000mAh,3,"12""",220mm Mini,DJI FPV Receiver,5000,520,800,2400,909,2.64,1491,39.77,110.61,67.62,54.63,0.5121,300.16
